Sl_No,Name,Type,URL,Headers,Params,JsonBody
1,getSubscriberInfo,GET,http://182.76.130.174:{{{env.port}}}/api/subscribers/filter/mobileNo/{{{phoneNo}}},Token: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMjM0NTY3ODkwIiwibmFtZSI6IkpvaG4gRG9lIiwiaWF0IjoxNTE2MjM5MDIyfQ.SflKxwRJSMeKKF2QT4fwpMeJf36POk6yJV_adQssw5c,,
2,getMagazineDetails,GET,http://www.delhipress.in/api/subscribe,Content-Type: application/json; Authorization: Basic YWRtaW46MTIzNA==,slug: {{{slug_name}}}; region: india; lang: {{{lang}}}; mode: express-delivery,
3,getDeliveryPointCode,GET,182.76.130.174:{{{env.port}}}/api/city/filter/cityNamePoint/{{{cityName}}},Token: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMjM0NTY3ODkwIiwibmFtZSI6IkpvaG4gRG9lIiwiaWF0IjoxNTE2MjM5MDIyfQ.SflKxwRJSMeKKF2QT4fwpMeJf36POk6yJV_adQssw5c,,
4,getMagazinesList,GET,https://www.delhipress.in/api/subscribe,Content-Type: application/json; Authorization: Basic YWRtaW46MTIzNA==; : ,: ,
5,trackOrder,GET,http://182.76.130.174:{{{env.port}}}/api/dispatch/filter/mobileNo/{{{phoneNo}}},Token: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMjM0NTY3ODkwIiwibmFtZSI6IkpvaG4gRG9lIiwiaWF0IjoxNTE2MjM5MDIyfQ.SflKxwRJSMeKKF2QT4fwpMeJf36POk6yJV_adQssw5c,pageSize: 25,
6,renewSubscribtionList,GET,http://182.76.130.174:{{{env.port}}}/api/orders/magz/subscriber/{{{orderId}}},,,
7,updateProfile,PUT,http://182.76.130.174:{{{env.port}}}//api/subscribers/,Token: {{{env.token}}}; Content-Type: application/json,,"{
    ""id"": ""{{{id}}}"",
    ""online_id"": ""{{{subscriptionCode}}}"",
    ""subscriptionCode"": ""{{{subscriptionCode}}}"",
    ""subscriptionType"": ""{{{subscriptionType}}}"",
    ""entDate"": ""{{{entDate}}}"",
    ""name"": ""{{{name}}}"",
    ""email"": ""{{{email}}}"",
    ""mobileNo"": ""{{{mobileNo}}}"",
    ""orgn_code"": ""{{{orgn_code}}}"",
    ""locationCode"": ""{{{locationCode}}}"",
    ""addr1"": ""{{{addr1}}}"",
    ""addr2"": ""{{{addr2}}}"",
    ""addr3"": ""{{{addr3}}}"",
    ""addr4"": ""{{{addr4}}}"",
    ""landmark"": ""{{{landmark}}}"",
    ""pincode"": ""{{{pincode}}}"",
    ""city"": ""{{{city}}}"",
    ""city_code"": ""{{{city_code}}}"",
    ""state_provience"": ""{{{state_provience}}}"",
    ""country"": ""{{{country}}}"",
    ""cateCode"": ""MISC"",
    ""stCod"": ""{{{stCod}}}"",
    ""dregCod"": ""{{{dregCod}}}"",
    ""deliveryPointCode"": ""{{{deliveryPointCode}}}"",
    ""insert_flag_for_ca"": """",
    ""update_flag_for_ca"": """",
    ""insert_flag_for_dp"": """",
    ""update_flag_for_dp"": ""YI"",
    ""address_information"": ""{{{address_information}}}"",
    ""userName"": ""YellowAI""
}"
8,getSubscribtionsList,GET,http://182.76.130.174:{{{env.port}}}/api/orders/subscriber/{{{subscriber_id}}},Token: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMjM0NTY3ODkwIiwibmFtZSI6IkpvaG4gRG9lIiwiaWF0IjoxNTE2MjM5MDIyfQ.SflKxwRJSMeKKF2QT4fwpMeJf36POk6yJV_adQssw5c,,
9,createOrder,PUT,http://182.76.130.174:{{{env.port}}}/api/orders/,Token: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMjM0NTY3ODkwIiwibmFtZSI6IkpvaG4gRG9lIiwiaWF0IjoxNTE2MjM5MDIyfQ.SflKxwRJSMeKKF2QT4fwpMeJf36POk6yJV_adQssw5c; Content-Type: application/json,,"{
    ""id"": ""{{{id}}}"",
    ""locationCode"": ""HO"",
    ""subscriptionCode"": ""{{{subscriptionCode}}}"",
    ""seqNo"": ""{{{seqNo}}}"",
    ""magazine"": ""{{{magazine}}}"",
    ""quantity"": ""1"",
    ""despatchMode"": ""{{{despatchMode}}}"",
    ""duration"": ""{{{duration}}}"",
    ""amount"": ""{{{amount}}}"",
    ""messageSubscriber"": ""{{{messageSubscriber}}}"",
    ""trans_id"": ""{{{trans_id}}}"",
    ""payment_id"": ""{{{payment_id}}}"",
    ""insert_flag_for_ca"": """",
    ""update_flag_for_ca"": """",
    ""entDate"": ""{{{entDate}}}"",
    ""fromDate"": ""{{{fromDate}}}"",
    ""toDate"": ""{{{toDate}}}"",
    ""insert_flag_for_dp"": ""YI"",
    ""update_flag_for_dp"": """",
    ""online_id"": ""{{{online_id}}}"",
    ""online_orderid"": ""{{{online_orderid}}}"",
    ""deliveryPointCode"": ""{{{deliveryPointCode}}}"",
    ""subscriber"": {
        ""id"": ""{{{subscriber_id}}}""
    },
    ""userName"": ""YellowAI""
}"
10,addSubscription,PUT,http://182.76.130.174:{{{env.port}}}/api/subscribers/,Token: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMjM0NTY3ODkwIiwibmFtZSI6IkpvaG4gRG9lIiwiaWF0IjoxNTE2MjM5MDIyfQ.SflKxwRJSMeKKF2QT4fwpMeJf36POk6yJV_adQssw5c; Content-Type: application/json,,"{
    ""id"": ""{{{id}}}"",
    ""online_id"": ""{{{online_id}}}"",
    ""subscriptionCode"": ""{{{subscriptionCode}}}"",
    ""subscriptionType"": ""S"",
    ""entDate"": ""{{{entDate}}}"",
    ""name"": ""{{{name}}}"",
    ""email"": ""{{{email}}}"",
    ""mobileNo"": ""{{{mobileNo}}}"",
    ""orgn_code"": ""PV"",
    ""locationCode"": ""HO"",
    ""addr1"": ""{{{addr1}}}"",
    ""addr2"": ""{{{addr2}}}"",
    ""addr3"": ""{{{addr3}}}"",
    ""addr4"": ""{{{addr4}}}"",
    ""landmark"": ""{{{landmark}}}"",
    ""pincode"": ""{{{pincode}}}"",
    ""city"": ""{{{city}}}"",
    ""city_code"": ""{{{city_code}}}"",
    ""state_provience"": ""{{{state_provience}}}"",
    ""country"": ""{{{country}}}"",
    ""cateCode"": ""MISC"",
    ""stCod"": ""{{{stCod}}}"",
    ""dregCod"": ""{{{dregCod}}}"",
    ""deliveryPointCode"": ""{{{deliveryPointCode}}}"",
    ""insert_flag_for_ca"": """",
    ""update_flag_for_ca"": """",
    ""insert_flag_for_dp"": ""YI"",
    ""update_flag_for_dp"": """",
    ""address_information"": ""{{{address_information}}}"",
    ""userName"": ""YellowAI""
}"
11,getCityCode,GET,http://182.76.130.174:{{{env.port}}}/api/city/filter/cityName/{{{cityName}}},Token: eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMjM0NTY3ODkwIiwibmFtZSI6IkpvaG4gRG9lIiwiaWF0IjoxNTE2MjM5MDIyfQ.SflKxwRJSMeKKF2QT4fwpMeJf36POk6yJV_adQssw5c,,
12,getSeqNo,GET,http://182.76.130.174:{{{env.port}}}/api/orders/subscriber/{{{sub_code}}}/seqNo,Authorization: Bearer eyJhbGciOiJIUzI1NiIsInR5cCI6IkpXVCJ9.eyJzdWIiOiIxMjM0NTY3ODkwIiwibmFtZSI6IkpvaG4gRG9lIiwiaWF0IjoxNTE2MjM5MDIyfQ.SflKxwRJSMeKKF2QT4fwpMeJf36POk6yJV_adQssw5c,,
13,ViewPurchaseHistory,GET,http://182.76.130.174:{{{env.port}}}/api/orders/magz/mobile/{{{phoneNo}}},,,
14,AJm,GET,"curl ""https://official-joke-api.appspot.com/jokes/programming/random""",,,
